Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,KiLib_Generator,LCSC,LCSC Part,Manufacturer
"C10, C12, C13",3,22uf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,"capacitor, small US symbol",SMD_2terminal_chip_molded,,,
"C11, C9",2,10uf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,"capacitor, small US symbol",SMD_2terminal_chip_molded,,,
C19,1,470uf,C_Elec_10x10.2,,,,smt,Polarized capacitor,capacitor/SMD/elec_round,C72518,,
C24,1,47uf,C_Elec_6.3x7.7,,,,smt,Polarized capacitor,capacitor/SMD/elec_round,C72523,,
"C33, C34, C35",3,25TQC33MYF,CAP-SMD_L7.3-W4.3-FD,,25TQC33MYF,,smt,,,,C191808,PANASONIC(松下)
L1,1,APH0420T1R0M,IND-SMD_L4.4-W4.2,,APH0420T1R0M,,tht,,,,C5349664,APV(爱普微)
L3,1,0420CDMCCDS-1R0MC,IND-SMD_L4.2-W4.2_MCW-0420,,0420CDMCCDS-1R0MC,,smt,,,,C609522,Sumida(胜美达)
R1,1,2R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,"Resistor, small US symbol",SMD_2terminal_chip_molded,,,
R10,1,0.5R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,"Resistor, small US symbol",SMD_2terminal_chip_molded,,,
"R14, R15, R16, R17, R6",5,2.2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,SMD_2terminal_chip_molded,,,
R2,1,51k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,"Resistor, small US symbol",SMD_2terminal_chip_molded,,,
"R21, R3, R4",3,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,"[R21]Resistor; [R3,R4]Resistor, small US symbol",SMD_2terminal_chip_molded,,,
R9,1,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,"Resistor, small US symbol",SMD_2terminal_chip_molded,,,
SGM2212-3.1,1,~,SOT-223,,,,smt,regulador de usb a 3.3v,,,,
U1,1,IP2312-4V35,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,,IP2312-4V35,,smt,,,,C605433,INJOINIC(英集芯)
"U13, U16",2,ESP32-WROOM-32D,ESP32-WROOM-32D,,,,smt,"RF Module, ESP32-D0WD SoC, Wi-Fi 802.11b/g/n, Bluetooth, BLE, 32-bit, 2.7-3.6V, onboard antenna, SMD",,,,
"U14, U15",2,CH340C,SOIC-16_3.9x9.9mm_P1.27mm,,,,smt,"USB serial converter, crystal-less, UART, SOIC-16",package/gullwing,,,
U2,1,BQ25798RQMR,QFN-29_L4.0-W4.0-P0.40-TL-BQ25792RQMR,,BQ25798RQMR,,smt,,,,C2876593,TI(德州仪器)
USB1,1,TYPE-C 16PIN 2MD,USB-C-SMD_TYPE-C-16PIN-2MD-073,,TYPE-C 16PIN 2MD(073),,smt,,,,C2765186,SHOU HAN(首韩)
USB2,1,HX-TYPE-C 16P 180 LT H15.0,USB-C-SMD_HX-TYPE-C-16P-180-LT-H15.0,,,,smt,,,,C49261573,
