pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
93.32,57.901667,0.0,top,3.3V1,,,LED0805-FD-GREEN,YLED0805G,smt
93.32,52.94,0.0,top,BAT1,,,LED0805-FD-GREEN,YLED0805G,smt
56.3775,77.38,180.0,top,C14,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uf,smt
68.82,77.42,180.0,top,C15,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uf,smt
49.5,96.3225,-90.0,top,C16,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nf,smt
47.47,96.32,-90.0,top,C17,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uf_25v,smt
77.8,55.29,0.0,top,C18,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nf,smt
74.76,48.59,0.0,top,C19,,,C_Elec_10x10.2,470uf,smt
89.29,11.88,180.0,top,C20,CA45-D035K226T,,CAP-SMD_L7.3-W4.3-R-RD,CA45-D035K226T,smt
85.41,76.37,-90.0,top,C21,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1uf,smt
97.56,90.95,0.0,top,C22,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uf,smt
98.58,77.72,-90.0,top,C23,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uf,smt
79.7425,70.63,0.0,top,C24,,,C_Elec_6.3x7.7,47uf,smt
89.51,34.46,90.0,top,C25,RVT1V221M0810,,CAP-SMD_BD8.0-L8.3-W8.3-LS9.1-FD,RVT1V221M0810,smt
79.23,26.01,0.0,top,C26,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uf,smt
87.93,26.48,180.0,top,C27,CL32B106KBJNNNE,,C1210,CL32B106KBJNNNE,smt
81.03,10.02,0.0,top,C28,CL32B106KBJNNNE,,C1210,CL32B106KBJNNNE,smt
72.67,39.93,0.0,top,C29,CL32B106KBJNNNE,,C1210,CL32B106KBJNNNE,smt
65.01,39.89,180.0,top,C30,CL32B106KBJNNNE,,C1210,CL32B106KBJNNNE,smt
83.33,76.22,90.0,top,C31,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nf,smt
77.31,76.4,-90.0,top,C40,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nf,smt
76.24,24.62,-90.0,top,C53,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,220nF,smt
87.2,23.81,180.0,top,C55,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uf,smt
68.76,34.1,180.0,top,C56,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uf,smt
78.2,40.84,180.0,top,C57,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uf,smt
4.48,12.63,0.0,top,C58,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uf,smt
