Designator,Mid X,Mid Y,Rotation,Layer
3.3V1,93.48,57.05,0.0,top
3.3V2,113.45,72.91,0.0,top
3.3V3,2.41,42.76,0.0,top
5V1,160.93,66.92,0.0,top
BAT1,93.48,53.82,0.0,top
BATTERY1,77.86,2.7,0.0,top
BATTERY2,67.08,2.7,0.0,top
C14,56.3775,77.38,180.0,top
C15,68.82,77.42,180.0,top
C16,48.55,97.84,180.0,top
C17,48.545,95.731667,180.0,top
C18,77.8,55.15,0.0,top
C19,74.76,48.59,180.0,top
C20,93.1615,13.255,180.0,top
C21,86.69,67.17,270.0,top
C22,97.56,90.95,0.0,top
C23,98.58,77.72,270.0,top
C24,79.38,70.9,180.0,top
C25,95.29,36.98,90.0,top
C26,82.56,29.04,180.0,top
C27,94.57,29.98,180.0,top
C28,82.2,13.905,0.0,top
C29,78.64,41.36,180.0,top
C30,65.7,41.4,180.0,top
C31,85.41,77.34,270.0,top
C32,150.79,72.04,180.0,top
C33,165.8075,72.04,0.0,top
C34,133.33,73.3775,180.0,top
C40,77.525,76.4,270.0,top
C53,82.43,25.97,180.0,top
C55,94.23,27.11,180.0,top
C56,69.375,35.725,180.0,top
C57,78.925,38.25,180.0,top
C58,4.48,12.63,0.0,top
C59,48.555,93.623333,0.0,top
C60,48.54,91.515,0.0,top
C61,165.8075,74.1275,180.0,top
C62,150.8,74.1275,0.0,top
C63,141.93,72.1275,180.0,top
C64,123.87,69.7,0.0,bottom
D1,89.08,81.32,270.0,top
D3,81.73,35.59,0.0,top
D4,87.82,88.0,180.0,top
D5,83.65,55.11,0.0,top
D6,81.73,32.6,0.0,top
D7,73.22,38.3,0.0,top
D8,65.675,38.275,180.0,top
DC1,88.7325,49.0125,180.0,top
DC_BOOST_1,158.21,72.85,0.0,top
GND1,46.36,47.44,90.0,top
GND2,211.38,28.68,0.0,top
GND3,72.46,2.7,0.0,top
H2_2,6.45,73.72,90.0,top
H5,162.58,29.93,0.0,top
H5.1,131.32,36.2651,0.0,top
H5.2,131.33,66.74,0.0,top
H7.1,180.31,69.745,270.0,top
H7.2,205.31,69.745,90.0,top
H7.3,180.3,33.695,90.0,top
H7.4,205.31,33.695,90.0,top
INB1,31.6,47.66,0.0,top
INB2,28.24,47.66,0.0,top
J1,163.84,51.28,0.0,bottom
J2,136.76,60.46,270.0,bottom
JP1,143.81,63.52,180.0,bottom
JP2,162.49,37.06,0.0,top
JP3,168.51,42.46,180.0,bottom
JP4,137.85,70.1,0.0,top
JP5,101.18,50.65,0.0,top
JP6,77.44,98.1,180.0,bottom
JP7,43.48,87.24,180.0,bottom
L2,80.74,61.65,90.0,top
L4,74.16,24.84,270.0,top
M_N1,14.75,25.63,180.0,top
M_P1,14.75,31.74,180.0,top
NT1,88.96375,27.07,245.0,top
PWM1,24.88,47.66,0.0,top
Q1,88.15,32.66,270.0,top
Q14,74.23,87.47,90.0,top
Q16,73.7,77.42,270.0,top
R1,172.51,73.34,0.0,top
R11,52.54,77.35,180.0,top
R12,65.0,77.39,180.0,top
R13,88.375,21.025,0.0,top
R14,89.165,56.99,0.0,top
R15,89.13,60.04,0.0,top
R16,94.95,22.725,0.0,top
R17,89.13,53.88,0.0,top
R22,89.265,63.13,0.0,top
R23,88.73,67.21,90.0,top
R24,90.18,78.28,180.0,top
R25,82.47,23.97,0.0,top
R26,94.9,20.65,180.0,top
R27,94.95,24.75,180.0,top
R28,72.71,90.55,0.0,top
R29,80.55,77.23,180.0,top
R30,94.9,18.67,0.0,top
R31,71.085,86.965,90.0,top
R32,72.75,96.53125,180.0,top
R33,48.565,87.388333,0.0,top
R34,48.57,85.34,0.0,top
R35,43.72,57.71,0.0,top
R36,43.73,54.64,0.0,top
R37,125.29,33.37,180.0,top
R38,134.21,33.37,180.0,top
R39,168.38,37.55,0.0,bottom
R40,141.91,74.19,180.0,top
R41,168.37,35.57,180.0,bottom
R42,72.735,98.525,180.0,top
R43,48.56,89.436667,0.0,top
R79,73.99,80.47,180.0,top
R80,73.82,83.42,0.0,top
R81,72.73,92.54375,180.0,top
R82,72.74,94.5375,180.0,top
R84,93.71,90.93,0.0,top
R85,96.52,77.74,90.0,top
RUN1,93.48,60.045,0.0,top
SW2,66.71,73.1,0.0,top
SW4,54.25,73.21,0.0,top
TP1,197.23,67.32,0.0,top
TP2,184.4,74.08,0.0,top
U1,137.5945,73.54,270.0,top
U10,3.851264,35.577644,90.0,top
U11,85.9225,4.0825,180.0,top
U15,79.88,83.62,90.0,top
U16,60.31,90.15,0.0,top
U2,38.89,23.945,180.0,top
U3,89.18,73.27,0.0,top
U4,88.31375,26.0775,180.0,top
U5,48.27,56.38,90.0,top
U7,68.7,59.37,0.0,top
U8,3.851264,18.235144,90.0,top
U9,3.851264,26.905144,90.0,top
USB1,94.8575,84.8,90.0,top
USB2,97.51,68.66,0.0,top
USB3,93.48,63.01,0.0,top
VCC1,51.44,47.44,90.0,top
