Designator,Footprint,Quantity,Value,LCSC Part #,
"3.3V1, BAT1, RUN1, USB3",LED0805-FD-GREEN,4,YLED0805G,C25170728,_
3.3V2,TestPoint_Pad_2.5x2.5mm,1,3V,,x
"3.3V3, BATTERY1, GND3, USB2",TestPoint_Pad_2.0x2.0mm,4,TestPoint,,x
5V1,TestPoint_Pad_2.5x2.5mm,1,5V,,x
"C14, C15, C22, C23, C26, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64",805,15,0.1uf,,)
"C16, C18, C31, C40",805,4,100nf,,)
"C17, C32, C33, C34",805,4,10uf_25v,,)
C19,C_Elec_10x10.2,1,470uf,C72518,)
C20,CAP-SMD_L7.3-W4.3-R-RD,1,CA45-D035K226T,C126947,)
C21,805,1,1uf,,)
C24,C_Elec_6.3x7.7,1,47uf,C72523,_
C25,CAP-SMD_BD8.0-L8.3-W8.3-LS9.1-FD,1,RVT1V221M0810,C3340,_
"C27, C28, C29, C30",C1210,4,CL32B106KBJNNNE,C138687,)
C53,805,1,220nF,,)
"D1, D4",SOT-23-3_L2.9-W1.3-P0.95-LS2.4-BR,2,SM05.TCT,C85197,_
"D3, D6, D7, D8",SMA_L4.4-W2.8-LS5.4-R-RD,4,SS54_C22452,C22452,)
D5,SMA_L4.3-W2.6-LS5.1-RD,1,B330A,C52037930,_
DC1,DC-IN-TH_DC-470-2.1GP,1,DC-470-2.1GP,C194407,)
DC_BOOST_1,HDR-TH_4P-P2.54-V-M,1,PZ254V-11-04P_C2691448,C2691448,_
GND1,PinHeader_1x01_P2.00mm_Vertical,1,PH_GND,,_
GND2,TestPoint_Pad_2.5x2.5mm,1,GND,,_
"H2_2, H5",HDR-TH_20P-P2.54-V-M-R2-C10-S2.54,2,2.54-2*10,C5116480,)
"H5.1, H5.2",HDR-TH_16P-P2.54-V-M_2,2,HX PZ2.54-1X16P ZZ,C42372508,)
"H7.1, H7.2, H7.3, H7.4",,4,,,X
INB1,PinHeader_1x01_P2.00mm_Vertical,1,INB1,,X
INB2,PinHeader_1x01_P2.00mm_Vertical,1,INB2,,X
J1,MPU6050_Module,1,Conn_01x08_Pin,,X
J2,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,,X
L2,IND-SMD_L8.5-W8.0_PCC-M0854M,1,PSPMAA0805-101M-ANP,C2962892,_
L4,IND-SMD_L12.3-W12.3_SMDRI127,1,SMDRI127-220MT,C9905,)
M_N1,PinHeader_1x01_P2.00mm_Vertical,1,M_N,,_
M_P1,PinHeader_1x01_P2.00mm_Vertical,1,TestPoint,,_
PWM1,PinHeader_1x01_P2.00mm_Vertical,1,PWM,,_
Q1,SOP-8_L5.0-W3.8-P1.27-LS6.0-BL,1,AO4435_C2944310,C2944310,)
"Q14, Q16",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TR,2,2n3904S-RTK/PS_C18536,C18536,_
R1,RES-ADJ-SMD_3P-L3.0-W3.8-P1.75-BR,1,TC33X-2-103E,C719176,)
"R11, R12, R24, R26, R29, R31, R35",805,7,10k,,_
R13,R2512,1,YLRY12-3-60F,C22468068,)
"R14, R15, R17, R22",805,4,2.2k,,_
R16,R0805,1,RC0805FR-07390KL,C137535,)
"R23, R79, R80",805,3,1k,,_
R25,805,1,120,,)
R27,805,1,41.2K,C2077335,)
"R28, R32, R33, R34, R37, R38",805,6,4.7K,,)
"R30, R39, R41",805,3,100K,,)
R36,805,1,30k,,)
R40,805,1,6.8k,,)
"R81, R82",805,2,0,,_
"R84, R85",805,2,1M,,)
SW2,SW-SMD_4P-L6.0-W6.0-P4.50-LS8.2,1,BOOT,C7528752,_
SW4,SW-SMD_4P-L6.0-W6.0-P4.50-LS8.2,1,RESET,C7528752,_
TP1,TestPoint_THTPad_D4.0mm_Drill2.0mm,1,TDS_1,,X
TP2,TestPoint_THTPad_D4.0mm_Drill2.0mm,1,TDS_2,,X
U1,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,1,SY6280AAC,C55136,)
"U10, U11, U8, U9",CONN-TH_2P-P3.81_DB125-3.81-2P-BK-S,4,DB125-3.81-2P-BK-S,C430618,)
U15,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,,)
U16,ESP32-WROOM-32U,1,ESP32-WROOM-32D,,)
U2,L298N-module-43x43mm,1,L298N,,X
U3,ESSOP-10_L4.9-W3.9-P1.0-LS6.0-TL-EP,1,CH224K,C970725,)
U4,SSOP-10_L4.9-W3.9-P1.00-LS6.0-BL,1,CN3795,C150555,)
U5,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,1,LM358DR,C5423,_
U7,PG-TO-263-5_L10.2-W8.7-P1.70-LS14.4-BR,1,LM2576HVS-3.3,C347436,)
USB1,USB-C-SMD_TYPE-C-16PIN-2MD-073,1,TYPE-C 16PIN 2MD,C2765186,_
VCC1,PinHeader_1x01_P2.00mm_Vertical,1,M_VCC,,
